Macro Recording Summary
=======================
Total Duration: 39602.135ms (39.60s)
Total Events: 367

Event Log:
--------------------------------------------------------------------------------
 38358.291ms | KEY UP     | e (held 6.847ms)
 38375.750ms | KEY DOWN   | e
 38382.886ms | KEY UP     | e (held 7.136ms)
 38400.053ms | KEY DOWN   | e
 38407.506ms | KEY UP     | e (held 7.453ms)
 38424.244ms | MOUSE UP   | left at (867, 1146) (held 0.000ms) [ORPHAN]
 38424.824ms | MOUSE UP   | left at (867, 1146) (held 0.000ms) [ORPHAN]
 38425.150ms | MOUSE UP   | right at (867, 1146) (held 0.000ms) [ORPHAN]
 38425.935ms | KEY UP     | e (held 0.000ms) [ORPHAN]
 38426.283ms | KEY UP     | q (held 0.000ms) [ORPHAN]
 38426.841ms | KEY UP     | tab (held 0.000ms) [ORPHAN]
